titles,summary,genre,year
Happythankyoumoreplease,"Captures a generational moment - young people on the cusp of truly growing up, tiring of their reflexive cynicism, each in their own ways struggling to connect and define what it means to love and be loved.","Comedy, Drama, Romance",2010
Bridesmaids,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.","Comedy, Romance",2011
Goon,"Labeled an outcast by his brainy family, a bouncer overcomes long odds to lead a team of under performing misfits to semi-pro hockey glory, beating the crap out of everything that stands in his way.","Comedy, Drama, Sport",2011
Men in Black 3,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,"Action, Adventure, Comedy",2012
Unknown,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.","Action, Mystery, Thriller",2011
The Perfect Host,An on-the-run convict looking for temporary cover finds it at the house of a very colorful character.,"Comedy, Crime, Thriller",2010
Defendor,"Arthur Poppington, a regular man who adopts a superhero persona, known as ""Defendor"", combs the city streets at night, in search of his archenemy, Captain Industry.","Comedy, Crime, Drama",2009
Madagascar 3: Europe's Most Wanted,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer.","Animation, Adventure, Comedy",2012
Middle Men,"Chronicles Jack Harris, one of the pioneers of internet commerce, as he wrestles with his morals, and struggles not to drown in a sea of con men, mobsters, drug addicts, and porn stars.","Comedy, Crime, Drama",2009
Ondine,An Irish fisherman discovers a woman in his fishing net whom his precocious daughter believes to be a selkie.,"Drama, Mystery, Romance",2009
The Debt,"In 1965, three Mossad Agents cross into East Berlin to apprehend a notorious Nazi war criminal. Thirty years later, the secrets the Agents share come back to haunt them.","Drama, Thriller",2010
Out of the Furnace,"When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice.","Action, Crime, Drama",2013
One Chance,"The true story of Paul Potts, a shy, bullied shop assistant by day and an amateur opera singer by night who became a phenomenon after being chosen for -- and ultimately winning -- Britain's Got Talent (2007).","Biography, Comedy, Drama",2013
Cold in July,"When a protective father meets a murderous ex-con, both need to deviate from the path they are on as they soon find themselves entangled in a downwards spiral of lies and violence while having to confront their own inner psyche.","Crime, Thriller",2014
TRON: Legacy,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,"Action, Adventure, Sci-Fi",2010
Adventureland,"In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world.","Comedy, Drama, Romance",2009
Yes Man,"A man challenges himself to say ""yes"" to everything.","Comedy, Romance",2008
The Burning Plain,A drama with a two-tiered storyline concerning a mother and daughter who try to form a bond after the young woman's difficult childhood.,"Crime, Drama, Romance",2008
A Christmas Carol,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.","Animation, Drama, Family",2009
Suspiria,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.","Fantasy, Horror, Mystery",2018
Hanna,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.","Action, Drama, Thriller",2011
Fair Game,CIA operative Valerie Plame discovers her identity is allegedly leaked by the government as payback for an op-ed article her husband wrote criticizing the Bush administration.,"Biography, Drama, Thriller",2010
Hitchcock,The relationship between Alfred Hitchcock and his wife Alma Reville during the filming of Psycho (1960) in 1959 is explored.,"Biography, Drama, Romance",2012
Tetro,"Bennie travels to Buenos Aires to find his long-missing older brother, a once-promising writer who is now a remnant of his former self. Bennie's discovery of his brother's near-finished play might hold the answer to understanding their shared past and renewing their bond.",Drama,2009
Green Zone,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.,"Action, Drama, Thriller",2010
Bottle Shock,"The story of the early days of California wine making featuring the now infamous, blind Paris wine tasting of 1976 that has come to be known as ""Judgment of Paris"".","Comedy, Drama",2008
The Jane Austen Book Club,"Six Californians start a club to discuss the works of Jane Austen, only to find their relationships -- both old and new -- begin to resemble 21st century versions of her novels.","Comedy, Drama, Romance",2007
Mr. Peabody & Sherman,"The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created.","Animation, Adventure, Comedy",2014
Trick 'r Treat,"Five interwoven stories that occur on Halloween: An everyday high school principal has a secret life as a serial killer; a college virgin might have just met the guy for her; a group of teenagers pull a mean prank; a woman who loathes the night has to contend with her holiday-obsessed husband; and a mean old man meets his match with a demonic, supernatural trick-or-treater.","Comedy, Horror",2008
Sunshine Cleaning,"In order to raise the tuition to send her young son to private school, a mom starts an unusual business -- a biohazard removal/crime scene clean-up service -- with her unreliable sister.","Comedy, Drama",2008
The Brothers Bloom,"The Brothers Bloom are the best con men in the world, swindling millionaires with complex scenarios of lust and intrigue. Now they've decided to take on one last job - showing a beautiful and eccentric heiress the time of her life with a romantic adventure that takes them around the world.","Action, Adventure, Comedy",2008
Walk Hard: The Dewey Cox Story,Singer Dewey Cox overcomes adversity to become a musical legend.,"Comedy, Drama, Music",2007
Rendition,"When a terrorist bombing in North Africa kills 19 incl. an American, an Egyptian chemical engineer flying from South Africa to his wife in USA, is arrested upon arriving USA. He disappears. His wife asks senator for help.","Drama, Thriller",2007
Death Sentence,"Nick Hume is a mild-mannered executive with a perfect life, until one gruesome night he witnesses something that changes him forever. Transformed by grief, Hume eventually comes to the disturbing conclusion that no length is too great when protecting his family.","Action, Crime, Drama",2007
Warcraft,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.","Action, Adventure, Fantasy",2016
The Boxtrolls,A young orphaned boy raised by underground cave-dwelling trash collectors tries to save his friends from an evil exterminator.,"Animation, Adventure, Comedy",2014
He Was a Quiet Man,An office worker inadvertently becomes a hero after he saves a woman's life.,"Drama, Romance, Thriller",2007
